,additional_information,street,agency_id,ages_served,borough,brief_description,building_floor_suite,city,free,genders_served,hours_friday,hours_monday,hours_saturday,hours_sunday,hours_thursday,hours_tuesday,hours_wednesday,intake,low_cost,medicaid,medicare,other_insurances,phone_number,required_documents,site_id,site_languages,site_name,sliding_fee,state,website,zip_code
101,,42 Broadway,Community Resource Exchange,,Manhattan,,#2000,NEW YORK,False,,,,,,,,,,False,,,,(212) 894-3394,,347,,Community Resource Exchange,,NY,,10004
102,,,Empire State Pride Agenda,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,,,505,,Empire State Pride Agenda,,NY,,
103,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,506 Lenox Avenue,HHC Harlem Hospital Center,,Manhattan,,,NEW YORK,True,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,True,Yes,Yes,"Some insurances accepted, copay may be applied",(212) 939-1000,,92,,HHC Harlem Hospital Center,Yes,NY,http://www.nyc.gov/html/hhc/harlem/html/home/home.shtml,10037
105,,3144 3rd Ave,BOOM! Health,13 and over. Parental consent not required.,Bronx,Community Health Center offering HIV testing and other medical services. Information subject to change. Saturday hours may be available. Please call ahead.,2nd Floor,BRONX,True,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 295-5690,,19,"English, Spanish",BOOM! Health Prevention Center,,NY,http://www.boomhealth.org/,10451
106,,"3452 Richmond Avenue Suite 200 Staten Island, NY 10312",Scafuri Associates,,Staten Island,,Suite 200,Staten Island,False,,,,,,,,,,False,,,,(718) 605-4700,,828,,South Shore Office #1,,NY,http://www.drscafuri.com/club/scripts/section/section.asp?NS=HP,10312
107,,886 Westchester Ave.,St. Ann's Corner of Harm Reduction,12 and over. Parental consent not required.,Bronx,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,1st Floor,BRONX,True,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,CLOSED,CLOSED,8:30 AM - 6:30 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 585-5544,,203,"English, Spanish. Sign Language",St. Ann's Corner of Harm Reduction,,NY,http://www.sachr.org,10459
108,,44 Court Street,Planned Parenthood-New York City Chapter,"All, no parental consent required",Brooklyn,,6th Floor,BROOKLYN,True,,8:00 AM - 4:30 PM,8 AM - 4:30 PM,8:30 AM - 4 PM,CLOSED,8:00 AM - 7:00 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,Appointment preferred,True,Yes,Yes,"Most insurances accepted, copay may be applied",(212) 965-7000,Personal ID is required.,181,"French, Spanish,Interpretation by telephone available for other languages.",Planned Parenthood Boro Hall Center (Brooklyn),Yes,NY,http://www.plannedparenthood.org/health-center/new-york/brooklyn/11201/boro-hall-center-2522-91110,11201
110,,2021 Grand Concourse,Union Community Health Center,13 and over. Parental consent not required.,Bronx,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BRONX,True,All,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,CLOSED,CLOSED,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Walk-ins welcome,False,,,,(718) 220-2020 ext 8263,Personal ID is not required but may allow quicker access to services.,224,English and Spanish,Union Community Health Center,Yes,NY,http://www.uchcbronx.org/,10453
112,,374 Stockholm Street,Wyckoff Heights Medical Center,13 and over. Parental consent not required.,Brooklyn,Unable to get in contact with someone to confirm information for 311.  can try again next year.,,BROOKLYN,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,False,,,,(718) 302-8481,Personal ID is not required but may allow quicker access to services.,239,,Wyckoff Heights Medical Center,Yes,NY,,11237
113,,290 Lenox Ave.,Harlem United,,Manhattan,,Lower Level,NEW YORK,False,,,,,,,,,,False,,,,(212) 239-0387,,362,,Foundation for Research of Sexually Transmitted Diseases,,NY,,10027
114,,100 Church Street,Health First,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,,,683,,Health First,,NY,http://healthfirst.org/,10007
115,,125 Walker Street,Charles B Wang Community Health Center - Teens,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 226-3888,No ID necessary.,48,,Charles B Wang Community Health Center - Teens,,NY,,10013
117,,P.O. Box 251,Guys and Girls,,Manhattan,,,New York City,False,,,,,,,,,,False,,,,,,778,,Guys and Girls,,NY,http://www.guysandgirls.net/,10014
118,,23 Hyatt Street,Community Health Action of Staten Island (CHASI),13 and over. Parental consent not required.,Staten Island,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,Staten Island,True,All,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,CLOSED,CLOSED,9:00 AM - 4:00 PM,19:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Walk-ins welcome,False,,,,718-808-1311,,795,,Community Health Action of Staten Island- Hyatt Street,,NY,www.chasiny.org,10301
119,,511 West 157th Street.,Community Healthcare Network,13 and over.,Manhattan,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,,8:30 AM-5:00 PM,9:30 AM- 6:00 PM,9:00 AM - 4:00 PM,CLOSED,8:30 AM-5:00 PM,8:30 AM-5:00 PM,10:30 AM- 7:00 PM,Appointment preferred,True,,,,(212)-781-7979,"Photo ID or similar documentation like paystub necessary. Proof of address, proof of income, list of medicines, past health records preferred",63,"English, Spanish, For more than 150 other languages using the Language Line, a live telephone translation service.",Community Healthcare Network - Community League Health Center,Yes,NY,http://www.chnnyc.org/our-locations/community-league-health-center,10032
121,,141 Hendrix St,Mt. Hope Church,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 647-9800,,389,,Mt. Hope Church,,NY,,11207
122,,40 Wall St,Walgreens/Duane Reade,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,,,692,,Walgreens,,NY,,10005
123,,250 Bedford Park Boulevard West,Lehman College,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 960-8000,,475,,Lehman College,,NY,,10468
124,,1276 Fulton Ave.,CK Life (Community Kinship),,Bronx,,,Bronx,False,,,,,,,,,,False,,,,,,803,,CK Life,,NY,http://www.cklife.org/,10456
125,,25 Allen Street,Lower East Side Harm Reduction Center,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 226-6333,,384,,Lower East Side Harm Reduction Center,,NY,,10002
126,,,New York State Health Department,,Staten Island,,,,False,,,,,,,,,,False,,,,,,820,,Staten Island Coalition,,,,
127,,230 West 17th StreetStreet,Mount Sinai Health System,18 and older,Manhattan,Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,All,9:00am-4:30pm,9:00am-4:30pm,Closed,Closed,11:00am-6:30pm,9:00am-4:30pm,9:00am-4:30pm,Walk-ins welcome,False,,,,(212) 523-6500,None,517,"English, Spanish and Telephone TranslationServices for all other languages",The Spencer Cox Center for Health - West 17th Street Clinic,,NY,http://centerforcare.org/contact/west-17th-street-clinic/,10011
128,,4215 Third Avenue,Community Healthcare Network,13 and over.,Bronx,,2nd Floor,BRONX,True,,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,CLOSED,CLOSED,9:00 AM - 4:30 PM,11:00 AM - 5:00 PM,9:00 AM - 4:30 PM,Appointment preferred,True,,,,(718) 294-5891,"Photo ID, proof of address, proof of income, list of medicines, past health records",462,"English, Spanish, For more than 150 other languages we use our Language Line, a live telephone translation service.",Community Healthcare Network - Tremont Health Center,Yes,NY,http://www.chnnyc.org/our-locations/tremont-health-center,10457
129,,450 Eastern Parkway,First Baptist Church of Crown Heights,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 778-1200,,358,,First Baptist Church of Crown Heights,,NY,,11225
130,,460 West 41st Street,Covenant House New York/Under 21,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,212-613-0300,,348,,Covenant House New York/Under 21,,NY,,10036
131,,22 Chapel Street,START Treatment & Recovery Centers,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 260-2900,,3,,START Treatment & Recovery Centers,,NY,http://www.startny.org/,11201
133,,79-01 Broadway,HHC Elmhurst Hospital Center,13 and over.,Queens,,,ELMHURST,True,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,True,,,,(718) 334-5080,,648,,HHC Elmurst Hospital Center - Adolescent Health Service,,NY,,11373
134,,1668 Webster Ave,Narco Freedom,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,,,561,,Narco Freedom - Webster Ave.,,NY,,10468
135,,882-886 Hunts Point Avenue,Bronx - Lebanon Hospital Center,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 860-8060,,24,,Bronx - Lebanon Hunts Point Clinic,,NY,http://www.bronxcare.org/,10474
136,,226 East 144th Street,BOOM! Health,13 and over. Parental consent not required.,Bronx,Community Health Center offering HIV testing and other medical services. Information subject to change. Saturday hours may be available. Please call ahead.,1st & 3rd Floor,BRONX,True,,9:00 AM - 7:30 PM,9:00 AM - 7:30 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:30 PM,9:00 AM - 7:30 PM,9:00 AM - 7:30 PM,Walk-ins welcome,False,,,,(718) 292-7718,,20,"English, Spanish",BOOM! Health Harm Reduction Center,,NY,http://www.boomhealth.org/,10451
137,,,ACT UP,,Manhattan,,,,False,,,,,,,,,,False,,,,,,596,,ACT UP,,,http://actupny.com/actions/,
139,,21 Audubon Avenue,The Young Men's Clinic,13 to 19.,Manhattan,,,NEW YORK,True,,8:30 AM - 5:00 PM,4:00 PM - 8:30 PM,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,Appointment preferred,True,,,,(866) 463-2778,,222,Spanish,The Young Men's Clinic,,NY,,10032
140,,242 Mason Avenue,Teen RAP - (SIUH),13 to 19.,Staten Island,,,STATEN ISLAND,True,,1:00 PM - 4:00 PM,1:00 PM - 4:00 PM,CLOSED,CLOSED,CLOSED,1:00 PM - 4:00 PM,5:00 PM - 8:00 PM,Appointment preferred,True,,,,(718) 226-6262,,216,,Teen RAP - Staten Island University Hospital - Medical Arts Pavilion,,NY,,10305
141,,208 West 13th St,"Lesbian, Gay,Bisexual, and Transgender Community Center",,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 620-7310,,496,,"Lesbian, Gay, Bisexual and Transgender Community Center",,NY,,10011
142,,279 Alexander Avenue,Dominican Sisters Family Health Services,14+. No parental consent required.,Bronx,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BRONX,True,All,,8:30am-4:30pm,,,8:30am-4:30pm,8:30am-4:30pm,8:30am-4:30pm,Walk-ins welcome,False,,,,(718) 665-6558,None,76,"English, French, Spanish, Haitian Creole",Dominican Sisters Family Health Services,,NY,dsfhs.org,10454
143,,7 Delaware Drive,Bioscrip Pharmacy,,Queens,,,NEW HYDE PARK,False,,,,,,,,,,False,,,,(516) 621-1557,,467,,Bioscrip Pharmacy,,NY,http://www.bioscrip.com/,11042
144,,26 Bleecker Street,Planned Parenthood-New York City Chapter,,Manhattan,,,NEW YORK,True,,8:00 AM - 7:00 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,CLOSED,8:00 AM - 7:00 PM,8:00 AM - 5:00 PM,8:00 AM - 7:00 PM,Appointment preferred,True,Yes,Yes,,(212) 965-7000,Personal ID is required.,183,English; Spanish; Interpretation by telephone available for other languages.,Planned Parenthood Margaret Sanger Center (Manhattan),Yes,NY,http://www.plannedparenthood.org/health-center/new-york/new-york/10012/margaret-sanger-center-3325-91110,10012
145,,5525 Broadway,Montefiore Medical Center,18 and over.,Bronx,,,BRONX,False,,CLOSED,8:30 AM - 7:00 PM,CLOSED,CLOSED,8:30 AM - 7:00 PM,CLOSED,8:30 AM - 6:00 PM,Walk-ins welcome,False,,,,(718) 884-0279,Personal ID is not required but may allow quicker access to services.,153,,Montefiore Marble Hill Family Practice,,NY,,10463
146,,5220 4th Avenue,Turning Point,,Brooklyn,No longer offers testing,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 360-8100,,223,,Turning Point,,NY,http://www.tpbk.org/,11220
147,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,100 North Portland Avenue,HHC Cumberland Diagnostic and Treatment Center,,Brooklyn,,,BROOKLYN,True,,8:00 AM - 5:00 PM,8:00 AM - 7:00 PM,CLOSED,CLOSED,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 7:00 PM,Appointment required,True,Yes,Yes,"Some insurances accepted, copay may be applied",(718) 260-7500,,292,,HHC Cumberland Diagnostic and Treatment Center,Yes,NY,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Cumberland.shtml,11205
148,,1218 Prospect Place,NYC DOHMH STD Control,13 and over.,Brooklyn,C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.,1st Floor,BROOKLYN,True,,8:30 AM - 3:30 PM.,8:30 AM - 3:30 PM.,CLOSED,CLOSED,8:30 AM - 3:30 PM.,8:30 AM - 3:30 PM.,8:30 AM - 3:30 PM.,Walk-ins welcome,True,,,,,,74,English,Crown Heights STD Clinic,,NY,,11213
149,,226 E. 144th St,Bronx HIV Advocacy Network,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(347) 805-5180,,469,,Bronx HIV Advocacy Network,,NY,http://www.bronxhivadvocacy.org/,10451
150,,57 Bay Street,Teen RAP - (SIUH),13 to 19.,Staten Island,,,STATEN ISLAND,True,,CLOSED,CLOSED,CLOSED,CLOSED,1:00 PM - 5:00 PM,5:00 PM - 8:00 PM,1:00 PM - 5:00 PM,Appointment preferred,True,,,,(718) 226-6262,,215,,Teen RAP - Staten Island University Hospital - Bay Street Heath Center,,NY,,10301
151,,2038 Davidson Avenue,Davidson Community Center,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 731-6360,,350,,Davidson Community Center,,NY,,10453
152,,23 Hyatt Street,Planned Parenthood-New York City Chapter,13 and over. Parental consent not required.,Staten Island,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,STATEN ISLAND,False,,CLOSED,9 AM - 6:30 PM,CLOSED,CLOSED,9 AM - 7:30 PM,CLOSED,9 AM - 6:30 PM,Appointment preferred,False,Yes,Yes,"Most insurances accepted, copay may be applied",(212) 965-7000,Personal ID,184,,Planned Parenthood Staten Island Center,Yes,NY,http://www.plannedparenthood.org/health-center/new-york/staten-island/10301/staten-island-center-3978-91110,10301
153,,5306 3rd Avenue,American Medical and Public Health Services (AMPHS) National,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(646) 543-3060,,327,,American Medical and Public Health Services (AMPHS) National,,NY,http://www.amphsonline.org/index.html,11220
154,,3512 Church Avenue,Caribbean Women's Health Association,13 and over. Parental consent not required.,Brooklyn,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,True,All,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,CLOSED,CLOSED,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,Walk-ins welcome,False,,,,(718) 826-2942,,45,"English, Spanish",Caribbean Women's Health Association,,NY,www.cwha.org,11203
155,,107-14 Liberty Avenue,Safe Space,,Queens,,,OZONE PARK,False,,,,,,,,,,False,,,,718-843-0493,,601,,Safe Space Liberty,,NY,,11417
156,,55 Water Street,Emblem Health,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,,,679,,Emblem Health,,NY,http://www.emblemhealth.com/,10041
157,,2100 Bartow Avenue,Montefiore Medical Center,0-21 years. Parental consent not required for ages 13 and over.,Bronx,,,BRONX,False,,8:30 AM - 5:00 PM,8:30 AM - 7:00 PM,8:30 AM - 12:00 PM,CLOSED,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,Walk-ins welcome,False,,,,(718) 320-5300,Personal ID is not required but may allow quicker access to services.,149,,Montefiore CO-OP City Clinic - Bay Plaza,Yes,NY,,10475
158,,60 Madison Street,HHC Smith Communicare Health Center,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 346-0500,,306,,HHC Smith Communicare Health Center,,NY,,10038
159,,250 Grand Concourse,Narco Freedom,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,,,555,,Narco Freedom - Grand Concourse (Corporate Office),,NY,,10451
160,,5008 7th Avenue,NYU Lutheran Medical Center,16 and over. Parental consent not required.,Brooklyn,,1st Floor,BROOKLYN,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,False,,,,(718) 210-1030,Personal ID is required.,125,,Lutheran Medical Center - Brooklyn - Chinese Family Health Center,Yes,NY,,11220
161,,540 East 13th Street,Roberto Clemente Family Guidance Center,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 387-7400,,197,,Roberto Clemente Family Guidance Center,,NY,,10009
163,,130 West Tremont Avenue,The Institute for Family Health,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 12:30 PM,CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 583-9000,Personal ID is not required but may allow quicker access to services.,99,,IFH Mount Hope Family Practice,Yes,NY,,10453
164,,"Bronx County Public Administration, 851 Grand Concourse",The Bronx Health Link,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 590-2648,,486,,The Bronx Health Link,,NY,,10451
165,,3201 Kings Highway,Mount Sinai Health System,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(212) 420-4000,,549,,Mount Sinai - Brooklyn,,NY,http://www.bethisraelny.org/brooklyn/,11234
166,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,82-68 164th Street,HHC Queens Hospital Center,,Queens,,8th Floor,JAMAICA,True,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,True,Yes,Yes,"Some insurances accepted, copay may be applied",(718)883-4192; 718-883-3000,,303,,HHC Queens Hospital Center,Yes,NY,http://www.nyc.gov/html/hhc/qhc/html/home/home.shtml,11432
167,,2 MetroTech Center,Arthur Ashe Urban Health,,Brooklyn,,First Floor,BROOKLYN,False,,,,,,,,,,False,,,,718-222-5953,,330,,Arthur Ashe Institute for Urban Health,,NY,http://www.arthurasheinstitute.org/arthurashe/home/,11201
169,,2306 Walton Ave.,Morris Heights Health Center,,Bronx,,,BRONX,False,,8:30AM - 5:00PM,8:30AM - 5:00PM,CLOSED,CLOSED,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,,False,,,,(718) 483-1240,,528,,MHHC Health Connections at Walton Ave.,,NY,http://www.mhhc.org/locations/health-connections/,10453
170,,150 Essex Street,Community Healthcare Network,13 and over.,Manhattan,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,All,:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:30 AM - 3:30 PM,CLOSED,9:00 AM - 7:00 PM,:00 AM - 5:00 PM,9:00 AM - 7:00 PM,Walk-ins welcome,True,,,,(212)-477-1120,"Photo ID or similar documentation like paystub necessary. Proof of address, proof of income, list of medicines, past health records preferred",64,"English, Spanish, Chinese. For more than 150 other languages using the Language Line, a live telephone translation service.",Community Healthcare Network - Catherine M. Abate Center,Yes,NY,http://www.chnnyc.org/our-locations/catherine-m-abate-health-center-formerly-the-downtown-health-center,10002
172,,60 E. Tremont Ave.,BronxWorks,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(646) 393-4000,,545,,BronxWorks Administration Office,,NY,http://www.bronxworks.org,10453
173,,125 Broad Street,Institute for Community Living,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 385-3030,,377,,Institute for Community Living,,NY,,10004
174,,567 West 183rd Street,FACES NY,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 283-9180,,354,,FACES NY,,NY,,10033
175,,4487 3rd Avenue,SBH Health System,13 and over. Parental consent not required.,Bronx,Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BRONX,True,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,Yes,Yes,,718-960-9400,Personal ID is not required but may allow quicker access to services.,204,,St. Barnabas Hospital,Yes,NY,www.sbhny.org,10457
176,,600 West 168th Street,HHC Washington Heights,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 795 - 0880,,309,,HHC Washington Heights,,NY,,10032
178,,20 New York Ave.,Watchful Eye,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(347) 533-4300,,449,,Watchful Eye,,NY,,11216
179,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,545 East 142nd Street,HHC Segundo Ruiz Belvis Diagnostic and Treatment Center,,Bronx,,,BRONX,True,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,CLOSED,CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Appointment required,True,Yes,Yes,"Some insurances accepted, copay may be applied",(718) 579-4000,,305,,HHC Segundo Ruiz Belvis Diagnostic and Treatment Center,Yes,NY,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Belvis.shtml,10454
180,,182 4th Avenue,Diaspora Community Services,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 399-0200,,351,,Diaspora Community Services,,NY,,11217
181,,"353 West Street 353 West Street New York, NY 10014",Hudson River Park Trust,,Manhattan,,"Pier 40, 2nd Floor",Manhattan,False,,,,,,,,,,False,,,,212.627.2020,,806,,Hudson River Park Trust,,NY,hudsonriverpark.org,10014
182,,1171 Washington Ave.,Bronx Parent Housing Network,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,,,661,,Bronx Parent Housing Network,,NY,http://www.bphn.info/home.html,
184,,915 Gates Ave,Jesus Christ Family Church Brooklyn,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 452-5441,,378,,Jesus Christ Family Church Brooklyn,,NY,,11221
186,,5141 BROADWAY,New York Presbyterian Hospital,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 932-4000,,540,,NYP - The Allen Hospital,,NY,http://nyp.org/facilities/allen-hospital.html,10034
187,,,Hopes Alive,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,347-351-8919,,583,,Hopes Alive,,NY,,
188,,180 Fort Washington Ave,Columbia University,,Manhattan,,HP 9-924,New York,False,,,,,,,,,,False,,,,,,807,,Columbia University College of Physicians and Surgeons,,NY,nycvaccine.org,10032
189,,34-33 Junction Boulevard,NYC DOHMH STD Control,13 and over.,Manhattan,C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.,,JACKSON HEIGHTS,True,,8:30 AM - 3:30 PM,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,8:30 AM - 3:30 PM,Walk-ins welcome,True,,,,,,73,English,Corona STD Clinic,,NY,,11372
190,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs. Call for more information.,79-01 Broadway,HHC Elmhurst Hospital Center,,Queens,,1st Floor J Wing,ELMHURST,True,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,True,Yes,Yes,"Some insurances accepted, copay may be applied",(718)334-3969; (718) 334-4000,,294,,HHC Elmhurst Hospital Center,Yes,NY,http://www.nyc.gov/html/hhc/ehc/html/home/home.shtml,11373
191,,First Avenue at 16th Street,Mount Sinai Health System,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 420-2000,,548,,Mount Sinai - Beth Israel,,NY,,10003
192,,731 White Plains Road,Soundview,13 and over. Parental consent not required.,Bronx,,,BRONX,True,,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 1:00 PM,CLOSED,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,Walk-ins welcome,False,,,,(718) 589-2232,Personal ID is not required but may allow quicker access to services.,653,Spanish,Soundview Health Center,,NY,,10473
193,,540 East Fordham Road,BOOM! Health,,Bronx,,,BRONX,False,,9:00AM - 5:00PM,9:00AM - 5:00PM,CLOSED,CLOSED,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,,False,,,,(718)295-BOOM,,439,,BOOM! Health Central Office,,NY,http://www.boomhealth.org/,10458
194,,268 Canal Street,Charles B Wang Community Health Center - Teens,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 379-6996,,669,,Charles B Wang Community Health Center - Canal,,NY,,10013
195,,237 East 104th Street,Union Settlement Association,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 828.6000,,612,,Union Settlement Association,,NY,http://unionsettlement.org/,10029
196,,160 West 100th Street,NYC DOHMH STD Control,,Manhattan,C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,,8:30 AM - 3:00 PM,CLOSED,8:30 AM - 3:00 PM,,"8:30 AM - 3:00 PM, 5:00 PM - 7:00 PM","8:30 AM - 3:00 PM, 5:00 PM - 7:00 PM",8:30 AM - 3:00 PM,Walk-ins welcome,True,,,,,,652,,Riverside STD Clinic,,NY,,10025
197,,42-09 28th St.,NYC DOHMH,,Queens,,,LONG ISLAND CITY,False,,,,,,,,,,False,,,,(212) 639-9675,,480,,NYC DOHMH Correctional Health Services,,NY,,11101
198,,444 St Marks Place,Staten Island Mental Health Society,,Staten Island,,,STATEN ISLAND,False,,,,,,,,,,False,,,,(718) 442-2225,,430,,Staten Island Mental Health Society,,NY,https://simhs.org/,10301
200,,South 5th Street and Marcy Avenue,Harlem United,14 and over. Parental consent not required.,Brooklyn,,,BROOKLYN,True,,CLOSED,CLOSED,12:00 PM - 4:30 PM,CLOSED,1:00 PM - 3:30 PM,CLOSED,CLOSED,,False,,,,(212) 924-3733,Personal ID is not required but may allow quicker access to services.,85,,FROST'D - Mobile Van - Williamsburg,,NY,,11211
201,,199 14th Street,NYU Lutheran Medical Center,,Brooklyn,,3rd Floor,Brooklyn,False,,,,,,,,,,False,,,,(718) 768-0753,,773,,Lutheran Medical Center - Project Reach Youth of Lutheran Family Health Centers,,NY,www.prysafe.com,11215
202,,410 Lakeville Road,North Shore LIJ,,Queens,,Suite 108,,False,,,,,,,,,,False,,,,516-465-3270,,1,,Adolescent and GYN Sexual Health Services - Long Island Jewish Medical Center,,NY,,11042
