"additional_information","address","agency_id","ages_served","borough","brief_description","building_floor_suite","city","free","genders_served","hours_friday","hours_monday","hours_saturday","hours_sunday","hours_thursday","hours_tuesday","hours_wednesday","intake","low_cost","medicaid","medicare","other_insurances","phone_number","required_documents","site_id","site_languages","site_name","sliding_fee","state","website","zip_code"
,"123 Linden Blvd","Haitian Centers Council",,"BROOKLYN",,"3rd Floor","BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 940-2200",,"457",,"Haitian Centers Council",,"NY",,"11226"
,"208 W 13 St","Translatina Network",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"917.274.7886",,"592",,"Translatina Network",,"NY","http://www.translatinanetwork.org/","10011"
,"575 Eighth Avenue","ACRIA",,"MANHATTAN",,"Suite 502","Manhattan","FALSE",,,,,,,,,,"FALSE",,,,"(212) 924-3934",,"624",,"ACRIA",,"NY","https://www.acria.org/","10018"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.","540 E 13th St","HHC Roberto Clemente Health Center/Sylvia Del Villard",,"MANHATTAN",,,"NEW YORK","TRUE",,":00 AM - 5:00 PM","9:00 AM - 7:00 PM","CLOSED","CLOSED","9:00 AM - 7:00 PM","9:00 AM - 7:00 PM","9:00 AM - 7:00 PM","Appointment required","TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(212) 387-7400",,"304",,"HHC Roberto Clemente Health Center/Sylvia Del Villard","Yes","NY",,"10009"
,"111 East 210th Street","Montefiore Medical Center",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,"718-920-4321",,"551",,"Montefiore Medical Center",,"NY","http://www.montefiore.org/","10467"
,"71 W 23rd St","National Development and Research Institutes, Inc.",,"MANHATTAN",,"8th Floor","New York","FALSE",,,,,,,,,,"FALSE",,,,"(212) 845-4400",,"824",,"National Development and Research Institutes, Inc.",,"NY","http://www.ndri.org/","10010"
,"301 West 37th Street","Housing Works Housing Works",,"MANHATTAN",,"#3","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 465-8304",,"410",,"Positive Health Project",,"NY",,"10018"
,"27 East 39th Street","Consulate General of Mexico",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"212-217-6400",,"589",,"Department of Community Affairs",,"NY","https://embassy-finder.com/mexico_in_new-york_usa","10016"
,"Fulton Street and Classon Avenue","Harlem United","14 and over. Parental consent not required.","BROOKLYN",,,"BROOKLYN","TRUE",,"CLOSED","CLOSED","CLOSED","CLOSED","10:00 AM - 12:00 PM","10:00 AM - 3:30 PM","CLOSED",,"FALSE",,,,"(212) 924-3733","Personal ID is not required but may allow quicker access to services.","83",,"FROST'D - Mobile Van - Bedstuy - Williamsburg",,"NY",,"11238"
,"60-02 Queens Boulevard Woodside","The Child Center of NY",,"Queens",,,,"FALSE",,,,,,,,,,"FALSE",,,,"718-322-4953",,"590",,"The Child Center of NY",,"NY","http://childcenterny.org/index.php","11377"
,"650 Fulton Street","Brooklyn Plaza Medical Center","All ages. Parental consent not required.","BROOKLYN","Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"BROOKLYN","TRUE","All","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Walk-ins welcome","FALSE","Yes","Yes","Most insurances accepted, copay may be applied","(718) 596-9800 ext. 249 or 288","For free rapid tests, no documents are required. For lab-based blood tests, Photo ID and insurance card are required.","40","English, Spanish, Haitian Creole","Brooklyn Plaza Medical Center","Yes","NY","www.brooklynplaza.org","11217"
,"2175 Westchester Avenue","Montefiore Medical Center",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,"(718) 829-6770",,"146",,"Montefiore Castle Hill Family Practice",,"NY",,"10462"
,"40 Worth Street","Legal Services NYC",,"MANHATTAN",,"Suite 606","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(646) 442-3600",,"382",,"Legal Services NYC",,"NY",,"10013"
,"42-09 28th Street","NYC DOHMH HIV/AIDS Prevention and Control",,"QUEENS",,"22nd Floor","LONG ISLAND CITY","FALSE",,,,,,,,,,"FALSE",,,,,,"766",,"NYC DOHMH HIV/AIDS Prevention and Control",,"NY","http://www.nyc.gov/html/doh/html/living/std-hiv.shtml","11101"
,"42 Broadway","Community Resource Exchange",,"MANHATTAN",,"#2000","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 894-3394",,"347",,"Community Resource Exchange",,"NY",,"10004"
,,"Empire State Pride Agenda",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,,,"505",,"Empire State Pride Agenda",,"NY",,
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.","506 Lenox Avenue","HHC Harlem Hospital Center",,"MANHATTAN",,,"NEW YORK","TRUE",,"24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours",,"TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(212) 939-1000",,"92",,"HHC Harlem Hospital Center","Yes","NY","http://www.nyc.gov/html/hhc/harlem/html/home/home.shtml","10037"
,,"Selfhelp Community Services",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"425",,"Selfhelp Community Services",,,,
,"3144 3rd Ave","BOOM! Health","13 and over. Parental consent not required.","BRONX","Community Health Center offering HIV testing and other medical services. Information subject to change. Saturday hours may be available. Please call ahead.","2nd Floor","BRONX","TRUE",,"9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Walk-ins welcome","FALSE",,,,"(718) 295-5690",,"19","English, Spanish","BOOM! Health Prevention Center",,"NY","http://www.boomhealth.org/","10451"
,"3452 Richmond Avenue Suite 200 Staten Island, NY 10312","Scafuri Associates",,"STATEN ISLAND",,"Suite 200","Staten Island","FALSE",,,,,,,,,,"FALSE",,,,"(718) 605-4700",,"828",,"South Shore Office #1",,"NY","http://www.drscafuri.com/club/scripts/section/section.asp?NS=HP","10312"
,"886 Westchester Ave.","St. Ann's Corner of Harm Reduction","12 and over. Parental consent not required.","BRONX","Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.","1st Floor","BRONX","TRUE",,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","CLOSED","CLOSED","8:30 AM - 6:30 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","Walk-ins welcome","FALSE",,,,"(718) 585-5544",,"203","English, Spanish. Sign Language","St. Ann's Corner of Harm Reduction",,"NY","http://www.sachr.org","10459"
,"44 Court Street","Planned Parenthood-New York City Chapter","All, no parental consent required","BROOKLYN",,"6th Floor","BROOKLYN","TRUE",,"8:00 AM - 4:30 PM","8 AM - 4:30 PM","8:30 AM - 4 PM","CLOSED","8:00 AM - 7:00 PM","8:00 AM - 4:30 PM","8:00 AM - 4:30 PM","Appointment preferred","TRUE","Yes","Yes","Most insurances accepted, copay may be applied","(212) 965-7000","Personal ID is required.","181","French, Spanish,Interpretation by telephone available for other languages.","Planned Parenthood Boro Hall Center (Brooklyn)","Yes","NY","http://www.plannedparenthood.org/health-center/new-york/brooklyn/11201/boro-hall-center-2522-91110","11201"
,,"Manhattan Legal Services",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,"(646) 442-3142",,"615",,"Manhattan Legal Services",,,,
,"2021 Grand Concourse","Union Community Health Center","13 and over. Parental consent not required.","BRONX","Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"BRONX","TRUE","All","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","CLOSED","CLOSED","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","Walk-ins welcome","FALSE",,,,"(718) 220-2020 ext 8263","Personal ID is not required but may allow quicker access to services.","224","English and Spanish","Union Community Health Center","Yes","NY","http://www.uchcbronx.org/","10453"
,,"Tabernacle of Praise/TOP Development",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"432",,"Tabernacle of Praise/TOP Development",,,,
,"374 Stockholm Street","Wyckoff Heights Medical Center","13 and over. Parental consent not required.","BROOKLYN","Unable to get in contact with someone to confirm information for 311.  can try again next year.",,"BROOKLYN","FALSE",,"9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM",,"FALSE",,,,"(718) 302-8481","Personal ID is not required but may allow quicker access to services.","239",,"Wyckoff Heights Medical Center","Yes","NY",,"11237"
,"290 Lenox Ave.","Harlem United",,"MANHATTAN",,"Lower Level","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 239-0387",,"362",,"Foundation for Research of Sexually Transmitted Diseases",,"NY",,"10027"
,"100 Church Street","Health First",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,,,"683",,"Health First",,"NY","http://healthfirst.org/","10007"
,"125 Walker Street","Charles B Wang Community Health Center - Teens",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 226-3888","No ID necessary.","48",,"Charles B Wang Community Health Center - Teens",,"NY",,"10013"
,,"National Organization of Black Law Enforcement Executives",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"394",,"National Organization of Black Law Enforcement Executives",,,,
,"P.O. Box 251","Guys and Girls",,"MANHATTAN",,,"New York City","FALSE",,,,,,,,,,"FALSE",,,,,,"778",,"Guys and Girls",,"NY","http://www.guysandgirls.net/","10014"
,"23 Hyatt Street","Community Health Action of Staten Island (CHASI)","13 and over. Parental consent not required.","STATEN ISLAND","Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"Staten Island","TRUE","All","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","CLOSED","CLOSED","9:00 AM - 4:00 PM","19:00 AM - 4:00 PM","9:00 AM - 4:00 PM","Walk-ins welcome","FALSE",,,,"718-808-1311",,"795",,"Community Health Action of Staten Island- Hyatt Street",,"NY","www.chasiny.org","10301"
,"511 West 157th Street.","Community Healthcare Network","13 and over.","MANHATTAN","Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"NEW YORK","TRUE",,"8:30 AM-5:00 PM","9:30 AM- 6:00 PM","9:00 AM - 4:00 PM","CLOSED","8:30 AM-5:00 PM","8:30 AM-5:00 PM","10:30 AM- 7:00 PM","Appointment preferred","TRUE",,,,"(212)-781-7979","Photo ID or similar documentation like paystub necessary. Proof of address, proof of income, list of medicines, past health records preferred","63","English, Spanish, For more than 150 other languages using the Language Line, a live telephone translation service.","Community Healthcare Network - Community League Health Center","Yes","NY","http://www.chnnyc.org/our-locations/community-league-health-center","10032"
,,"NDRI-USA",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"395",,"NDRI-USA",,,,
,"141 Hendrix St","Mt. Hope Church",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 647-9800",,"389",,"Mt. Hope Church",,"NY",,"11207"
,"40 Wall St","Walgreens/Duane Reade",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,,,"692",,"Walgreens",,"NY",,"10005"
,"250 Bedford Park Boulevard West","Lehman College",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,"(718) 960-8000",,"475",,"Lehman College",,"NY",,"10468"
,"1276 Fulton Ave.","CK Life (Community Kinship)",,"BRONX",,,"Bronx","FALSE",,,,,,,,,,"FALSE",,,,,,"803",,"CK Life",,"NY","http://www.cklife.org/","10456"
,"25 Allen Street","Lower East Side Harm Reduction Center",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 226-6333",,"384",,"Lower East Side Harm Reduction Center",,"NY",,"10002"
,,"New York State Health Department",,"STATEN ISLAND",,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"820",,"Staten Island Coalition",,,,
,"230 West 17th StreetStreet","Mount Sinai Health System","18 and older","MANHATTAN","Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"NEW YORK","TRUE","All","9:00am-4:30pm","9:00am-4:30pm","Closed","Closed","11:00am-6:30pm","9:00am-4:30pm","9:00am-4:30pm","Walk-ins welcome","FALSE",,,,"(212) 523-6500","None","517","English, Spanish and Telephone TranslationServices for all other languages","The Spencer Cox Center for Health - West 17th Street Clinic",,"NY","http://centerforcare.org/contact/west-17th-street-clinic/","10011"
,"4215 Third Avenue","Community Healthcare Network","13 and over.","BRONX",,"2nd Floor","BRONX","TRUE",,"9:00 AM - 4:30 PM","9:00 AM - 4:30 PM","CLOSED","CLOSED","9:00 AM - 4:30 PM","11:00 AM - 5:00 PM","9:00 AM - 4:30 PM","Appointment preferred","TRUE",,,,"(718) 294-5891","Photo ID, proof of address, proof of income, list of medicines, past health records","462","English, Spanish, For more than 150 other languages we use our Language Line, a live telephone translation service.","Community Healthcare Network - Tremont Health Center","Yes","NY","http://www.chnnyc.org/our-locations/tremont-health-center","10457"
,"450 Eastern Parkway","First Baptist Church of Crown Heights",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 778-1200",,"358",,"First Baptist Church of Crown Heights",,"NY",,"11225"
,"460 West 41st Street","Covenant House New York/Under 21",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"212-613-0300",,"348",,"Covenant House New York/Under 21",,"NY",,"10036"
,"22 Chapel Street","START Treatment & Recovery Centers",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 260-2900",,"3",,"START Treatment & Recovery Centers",,"NY","http://www.startny.org/","11201"
,,"Queens Borough President's Office",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"417",,"Queens Borough President's Office",,,,
,"79-01 Broadway","HHC Elmhurst Hospital Center","13 and over.","QUEENS",,,"ELMHURST","TRUE",,"9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM",,"TRUE",,,,"(718) 334-5080",,"648",,"HHC Elmurst Hospital Center - Adolescent Health Service",,"NY",,"11373"
,"1668 Webster Ave","Narco Freedom",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,,,"561",,"Narco Freedom - Webster Ave.",,"NY",,"10468"
,"882-886 Hunts Point Avenue","Bronx - Lebanon Hospital Center",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,"(718) 860-8060",,"24",,"Bronx - Lebanon Hunts Point Clinic",,"NY","http://www.bronxcare.org/","10474"
,"226 East 144th Street","BOOM! Health","13 and over. Parental consent not required.","BRONX","Community Health Center offering HIV testing and other medical services. Information subject to change. Saturday hours may be available. Please call ahead.","1st & 3rd Floor","BRONX","TRUE",,"9:00 AM - 7:30 PM","9:00 AM - 7:30 PM","10:00 AM - 6:00 PM","10:00 AM - 6:00 PM","9:00 AM - 7:30 PM","9:00 AM - 7:30 PM","9:00 AM - 7:30 PM","Walk-ins welcome","FALSE",,,,"(718) 292-7718",,"20","English, Spanish","BOOM! Health Harm Reduction Center",,"NY","http://www.boomhealth.org/","10451"
,,"ACT UP",,"MANHATTAN",,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"596",,"ACT UP",,,"http://actupny.com/actions/",
,,"Bristol-Myers Squibb",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"802",,"Bristol-Myers Squibb",,,,
,"21 Audubon Avenue","The Young Men's Clinic","13 to 19.","MANHATTAN",,,"NEW YORK","TRUE",,"8:30 AM - 5:00 PM","4:00 PM - 8:30 PM","CLOSED","CLOSED","CLOSED","CLOSED","CLOSED","Appointment preferred","TRUE",,,,"(866) 463-2778",,"222","Spanish","The Young Men's Clinic",,"NY",,"10032"
,"242 Mason Avenue","Teen RAP - (SIUH)","13 to 19.","STATEN ISLAND",,,"STATEN ISLAND","TRUE",,"1:00 PM - 4:00 PM","1:00 PM - 4:00 PM","CLOSED","CLOSED","CLOSED","1:00 PM - 4:00 PM","5:00 PM - 8:00 PM","Appointment preferred","TRUE",,,,"(718) 226-6262",,"216",,"Teen RAP - Staten Island University Hospital - Medical Arts Pavilion",,"NY",,"10305"
,"208 West 13th St","Lesbian, Gay,Bisexual, and Transgender Community Center",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 620-7310",,"496",,"Lesbian, Gay, Bisexual and Transgender Community Center",,"NY",,"10011"
,"279 Alexander Avenue","Dominican Sisters Family Health Services","14+. No parental consent required.","BRONX","Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"BRONX","TRUE","All",,"8:30am-4:30pm",,,"8:30am-4:30pm","8:30am-4:30pm","8:30am-4:30pm","Walk-ins welcome","FALSE",,,,"(718) 665-6558","None","76","English, French, Spanish, Haitian Creole","Dominican Sisters Family Health Services",,"NY","dsfhs.org","10454"
,"7 Delaware Drive","Bioscrip Pharmacy",,"QUEENS",,,"NEW HYDE PARK","FALSE",,,,,,,,,,"FALSE",,,,"(516) 621-1557",,"467",,"Bioscrip Pharmacy",,"NY","http://www.bioscrip.com/","11042"
,"26 Bleecker Street","Planned Parenthood-New York City Chapter",,"MANHATTAN",,,"NEW YORK","TRUE",,"8:00 AM - 7:00 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","CLOSED","8:00 AM - 7:00 PM","8:00 AM - 5:00 PM","8:00 AM - 7:00 PM","Appointment preferred","TRUE","Yes","Yes",,"(212) 965-7000","Personal ID is required.","183","English; Spanish; Interpretation by telephone available for other languages.","Planned Parenthood Margaret Sanger Center (Manhattan)","Yes","NY","http://www.plannedparenthood.org/health-center/new-york/new-york/10012/margaret-sanger-center-3325-91110","10012"
,"5525 Broadway","Montefiore Medical Center","18 and over.","BRONX",,,"BRONX","FALSE",,"CLOSED","8:30 AM - 7:00 PM","CLOSED","CLOSED","8:30 AM - 7:00 PM","CLOSED","8:30 AM - 6:00 PM","Walk-ins welcome","FALSE",,,,"(718) 884-0279","Personal ID is not required but may allow quicker access to services.","153",,"Montefiore Marble Hill Family Practice",,"NY",,"10463"
,"5220 4th Avenue","Turning Point",,"BROOKLYN","No longer offers testing",,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 360-8100",,"223",,"Turning Point",,"NY","http://www.tpbk.org/","11220"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.","100 North Portland Avenue","HHC Cumberland Diagnostic and Treatment Center",,"BROOKLYN",,,"BROOKLYN","TRUE",,"8:00 AM - 5:00 PM","8:00 AM - 7:00 PM","CLOSED","CLOSED","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 7:00 PM","Appointment required","TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(718) 260-7500",,"292",,"HHC Cumberland Diagnostic and Treatment Center","Yes","NY","http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Cumberland.shtml","11205"
,"1218 Prospect Place","NYC DOHMH STD Control","13 and over.","BROOKLYN","C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.","1st Floor","BROOKLYN","TRUE",,"8:30 AM - 3:30 PM.","8:30 AM - 3:30 PM.","CLOSED","CLOSED","8:30 AM - 3:30 PM.","8:30 AM - 3:30 PM.","8:30 AM - 3:30 PM.","Walk-ins welcome","TRUE",,,,"N/A",,"74","English","Crown Heights STD Clinic",,"NY",,"11213"
,"226 E. 144th St","Bronx HIV Advocacy Network",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,"(347) 805-5180",,"469",,"Bronx HIV Advocacy Network",,"NY","http://www.bronxhivadvocacy.org/","10451"
,"57 Bay Street","Teen RAP - (SIUH)","13 to 19.","STATEN ISLAND",,,"STATEN ISLAND","TRUE",,"CLOSED","CLOSED","CLOSED","CLOSED","1:00 PM - 5:00 PM","5:00 PM - 8:00 PM","1:00 PM - 5:00 PM","Appointment preferred","TRUE",,,,"(718) 226-6262",,"215",,"Teen RAP - Staten Island University Hospital - Bay Street Heath Center",,"NY",,"10301"
,"2038 Davidson Avenue","Davidson Community Center",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,"(718) 731-6360",,"350",,"Davidson Community Center",,"NY",,"10453"
,"23 Hyatt Street","Planned Parenthood-New York City Chapter","13 and over. Parental consent not required.","STATEN ISLAND","Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"STATEN ISLAND","FALSE",,"CLOSED","9 AM - 6:30 PM","CLOSED","CLOSED","9 AM - 7:30 PM","CLOSED","9 AM - 6:30 PM","Appointment preferred","FALSE","Yes","Yes","Most insurances accepted, copay may be applied","(212) 965-7000","Personal ID","184",,"Planned Parenthood Staten Island Center","Yes","NY","http://www.plannedparenthood.org/health-center/new-york/staten-island/10301/staten-island-center-3978-91110","10301"
,"5306 3rd Avenue","American Medical and Public Health Services (AMPHS) National",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(646) 543-3060",,"327",,"American Medical and Public Health Services (AMPHS) National",,"NY","http://www.amphsonline.org/index.html","11220"
,"3512 Church Avenue","Caribbean Women's Health Association","13 and over. Parental consent not required.","BROOKLYN","Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"BROOKLYN","TRUE","All","9:30 AM - 4:30 PM","9:30 AM - 4:30 PM","CLOSED","CLOSED","9:30 AM - 4:30 PM","9:30 AM - 4:30 PM","9:30 AM - 4:30 PM","Walk-ins welcome","FALSE",,,,"(718) 826-2942",,"45","English, Spanish","Caribbean Women's Health Association",,"NY","www.cwha.org","11203"
,"107-14 Liberty Avenue","Safe Space",,"QUEENS",,,"OZONE PARK","FALSE",,,,,,,,,,"FALSE",,,,"718-843-0493",,"601",,"Safe Space Liberty",,"NY",,"11417"
,"55 Water Street","Emblem Health",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,,,"679",,"Emblem Health",,"NY","http://www.emblemhealth.com/","10041"
,"2100 Bartow Avenue","Montefiore Medical Center","0-21 years. Parental consent not required for ages 13 and over.","BRONX",,,"BRONX","FALSE",,"8:30 AM - 5:00 PM","8:30 AM - 7:00 PM","8:30 AM - 12:00 PM","CLOSED","8:30 AM - 7:00 PM","8:30 AM - 7:00 PM","8:30 AM - 7:00 PM","Walk-ins welcome","FALSE",,,,"(718) 320-5300","Personal ID is not required but may allow quicker access to services.","149",,"Montefiore CO-OP City Clinic - Bay Plaza","Yes","NY",,"10475"
,"60 Madison Street","HHC Smith Communicare Health Center",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 346-0500",,"306",,"HHC Smith Communicare Health Center",,"NY",,"10038"
,"250 Grand Concourse","Narco Freedom",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,,,"555",,"Narco Freedom - Grand Concourse (Corporate Office)",,"NY",,"10451"
,"5008 7th Avenue","NYU Lutheran Medical Center","16 and over. Parental consent not required.","BROOKLYN",,"1st Floor","BROOKLYN","FALSE",,"9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM",,"FALSE",,,,"(718) 210-1030","Personal ID is required.","125",,"Lutheran Medical Center - Brooklyn - Chinese Family Health Center","Yes","NY",,"11220"
,"540 East 13th Street","Roberto Clemente Family Guidance Center",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 387-7400",,"197",,"Roberto Clemente Family Guidance Center",,"NY",,"10009"
,,"Lucas Entertainment",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"515",,"Lucas Entertainment",,,,
,"130 West Tremont Avenue","The Institute for Family Health","13 and over. Parental consent not required.","BRONX",,,"BRONX","FALSE",,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 12:30 PM","CLOSED","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","Walk-ins welcome","FALSE",,,,"(718) 583-9000","Personal ID is not required but may allow quicker access to services.","99",,"IFH Mount Hope Family Practice","Yes","NY",,"10453"
,"Bronx County Public Administration, 851 Grand Concourse","The Bronx Health Link",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,"(718) 590-2648",,"486",,"The Bronx Health Link",,"NY",,"10451"
,"3201 Kings Highway","Mount Sinai Health System",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(212) 420-4000",,"549",,"Mount Sinai - Brooklyn",,"NY","http://www.bethisraelny.org/brooklyn/","11234"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.","82-68 164th Street","HHC Queens Hospital Center",,"QUEENS",,"8th Floor","JAMAICA","TRUE",,"24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours",,"TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(718)883-4192; 718-883-3000",,"303",,"HHC Queens Hospital Center","Yes","NY","http://www.nyc.gov/html/hhc/qhc/html/home/home.shtml","11432"
,"2 MetroTech Center","Arthur Ashe Urban Health",,"BROOKLYN",,"First Floor","BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"718-222-5953",,"330",,"Arthur Ashe Institute for Urban Health",,"NY","http://www.arthurasheinstitute.org/arthurashe/home/","11201"
,,"Village Center for Care",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"445",,"Village Center for Care",,,,
,"2306 Walton Ave.","Morris Heights Health Center",,"BRONX",,,"BRONX","FALSE",,"8:30AM - 5:00PM","8:30AM - 5:00PM","CLOSED","CLOSED","8:30AM - 5:00PM","8:30AM - 5:00PM","8:30AM - 5:00PM",,"FALSE",,,,"(718) 483-1240",,"528",,"MHHC Health Connections at Walton Ave.",,"NY","http://www.mhhc.org/locations/health-connections/","10453"
,"150 Essex Street","Community Healthcare Network","13 and over.","MANHATTAN","Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"NEW YORK","TRUE","All",":00 AM - 5:00 PM","9:00 AM - 5:00 PM","8:30 AM - 3:30 PM","CLOSED","9:00 AM - 7:00 PM",":00 AM - 5:00 PM","9:00 AM - 7:00 PM","Walk-ins welcome","TRUE",,,,"(212)-477-1120","Photo ID or similar documentation like paystub necessary. Proof of address, proof of income, list of medicines, past health records preferred","64","English, Spanish, Chinese. For more than 150 other languages using the Language Line, a live telephone translation service.","Community Healthcare Network - Catherine M. Abate Center","Yes","NY","http://www.chnnyc.org/our-locations/catherine-m-abate-health-center-formerly-the-downtown-health-center","10002"
,"42-09 28th Street","NYC DOHMH",,,,,"LONG ISLAND CITY","FALSE",,,,,,,,,,"FALSE",,,,,,"689",,"Gotham Center",,"NY",,"11101"
,"60 E. Tremont Ave.","BronxWorks",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,"(646) 393-4000",,"545",,"BronxWorks Administration Office",,"NY","http://www.bronxworks.org","10453"
