,2010_census_tract,street,street 2,bbl,bin,borough,city_council_district,community_board,facility_name,latitude,longitude,nta,phone_number,service_type,zip_code
129,251.0,"600 West 169th Street, Apt #31",,1021380102.0,1063383.0,Manhattan,10.0,12.0,The New York and Presbyterian Hospital,40.841843,-73.939741,Washington Heights South,(212)-746-4326,Status Neutral Linkage and Navigation in Clinical Settings,10032
130,3.0,"56 Bay Street, 4th Floor",,5000050103.0,5000035.0,Staten Island,49.0,1.0,"Community Health Action Of Staten Island, Inc.",40.640624,-74.075704,West New Brighton-New Brighton-St. George,(718)-808-1402,Targeted HIV Testing Among Priority Populations,10301
131,57.0,"2 Astor Place, 3rd Floor",,1005450026.0,1080092.0,Manhattan,2.0,2.0,"Hetrick-Martin Institute, Inc.",40.730038,-73.992632,West Village,(212)-674-2600,Targeted HIV Testing Among Priority Populations,10003
132,91.0,"275 Seventh Avenue, 12th Floor",,1008010001.0,1015000.0,Manhattan,3.0,4.0,Mount Sinai Hospital,40.745743,-73.994435,Hudson Yards-Chelsea-Flatiron-Union Square,(212)-604-1770,Targeted HIV Testing Among Priority Populations,10001
133,196.0,104-106 E. 126th St,Suite 3-C,1017740067.0,1054493.0,Manhattan,9.0,11.0,"New York Harm Reduction Educators, Inc.",40.805518,-73.938066,East Harlem North,(718)-842-6050,Targeted HIV Testing Among Priority Populations,10035
134,5502.0,"26 Bleecker Street, 7th Floor",,1005210037.0,1008186.0,Manhattan,1.0,2.0,"Planned Parenthood of New York City, Inc.",40.725564,-73.993488,West Village,(212)-274-7222,Targeted HIV Testing Among Priority Populations,10012
135,181.0,110 West 97th Street,,1018517501.0,1079308.0,Manhattan,7.0,7.0,"William F. Ryan Community Health Center, Inc.",40.79381,-73.96765500000001,Upper West Side,(212)-316-7923,Targeted HIV Testing Among Priority Populations,10025
136,44601.0,"161-21 Jamaica Avenue, 6th Floor",,4097607501.0,4208875.0,Quueens,24.0,12.0,"AIDS Center of Queens County, Inc.",40.704249,-73.797921,Jamaica,(718)-896-2500,Targeted HIV Testing Among Priority Populations (MAI),11432
137,103.0,446 West 33rd Street,6th Floor,1007299001.0,1085401.0,Manhattan,3.0,4.0,"Gay Men's Health Crisis, Inc.",40.753552,-73.998784,Hudson Yards-Chelsea-Flatiron-Union Square,(212)-367-1248,Targeted HIV Testing Among Priority Populations (MAI),10001
138,814.0,3807 Church Avenue,,3048750038.0,3394916.0,Brooklyn,41.0,17.0,"Haitian Centers Council, Inc.",40.651188,-73.941712,East Flatbush-Farragut,(718)-940-2200,Targeted HIV Testing Among Priority Populations (MAI),11203
139,200.0,"306 Lenox Avenue, 3rd Floor",,1017230001.0,1053494.0,Manhattan,9.0,10.0,"Harlem United: Community AIDS Center, Inc.",40.808046999999995,-73.945274,Central Harlem South,(212)-803-2850,Targeted HIV Testing Among Priority Populations (MAI),10027
140,58.0,"24 West 25th Street, 9th Floor",,1008260057.0,1080686.0,Manhattan,3.0,5.0,"Latino Commission on AIDS, Inc.",40.743383,-73.990004,Hudson Yards-Chelsea-Flatiron-Union Square,(212)-675-3288,Targeted HIV Testing Among Priority Populations (MAI),10010
141,,20 Crossways Drive,North Suite 110,,,Nassau,,,"Lesbian, Gay, Bisexual, Transgender Network",,,,(516)-323-0011,Targeted HIV Testing Among Priority Populations (MAI),11797
142,281.0,"37-63 83rd Street, Suite 1B",,4014717501.0,4536749.0,Queens,21.0,3.0,Voces Latinas Corp.,40.749486,-73.883306,Jackson Heights,(718)-593-4528,Targeted HIV Testing Among Priority Populations (MAI),11372
143,269.0,"566 West 181st Street, 2nd floor",,1021530063.0,1063636.0,Manhattan,10.0,12.0,Washington Heights CORNER Project,40.849027,-73.93305500000001,Washington Heights North,(212)-923-7600,Targeted HIV Testing Among Priority Populations (MAI),10033
